rank,lemma,PoS,freq,perMil,disp
705,blood,n,137579,138.42,0.98
706,culture,n,137140,138.1,0.93
707,medical,j,136850,137.81,0.96
708,ok,r,136788,137.75,0.88
709,everybody,p,136787,137.75,0.94
710,top,n,136658,137.62,0.96
711,difficult,j,136474,137.43,0.97
712,close,v,136431,137.39,0.96
713,language,n,136124,137.08,0.92
714,window,n,136043,137.0,0.92
715,response,n,135942,136.9,0.93
716,population,n,135733,136.69,0.92
717,lie,v,135712,136.67,0.98
718,tree,n,135666,136.62,0.95
719,park,n,135440,136.39,0.93
720,worker,n,135244,136.19,0.95
721,draw,v,135022,135.97,0.97
722,plan,v,135011,135.96,0.98
723,drop,v,134220,135.16,0.98
724,push,v,134206,135.15,0.97
725,earth,n,134202,135.14,0.97
726,cause,n,133998,134.94,0.98
727,per,i,133974,134.92,0.94
728,private,j,133907,134.85,0.97
729,tonight,r,133341,134.28,0.91
730,race,n,133182,134.12,0.96
731,than,i,133168,134.1,0.95
732,letter,n,132828,133.76,0.98
733,other,p,132728,133.66,0.98
734,gun,n,132572,133.5,0.97
735,simple,j,132004,132.93,0.97
736,course,n,131911,132.84,0.94
737,wonder,v,131649,132.57,0.96
738,involve,v,131275,132.2,0.96
739,hell,n,131265,132.19,0.94
740,poor,j,131105,132.03,0.98
741,each,p,130754,131.67,0.98
742,answer,n,130534,131.45,0.98
743,nature,n,130378,131.29,0.94
744,administration,n,130297,131.21,0.94
745,common,j,130294,131.21,0.95
746,no,p,130206,131.12,0.98
747,hard,r,129919,130.83,0.98
748,message,n,129799,130.71,0.98
749,song,n,129648,130.56,0.97
750,enjoy,v,129575,130.49,0.97
751,similar,j,129272,130.18,0.94
752,congress,n,128923,129.83,0.93
753,attack,n,128893,129.8,0.96
754,past,j,128832,129.74,0.96
755,hot,j,128310,129.21,0.97
756,seek,v,128234,128.45,0.95
757,amount,n,128075,128.97,0.96
758,analysis,n,128029,128.93,0.85
759,store,n,127984,128.88,0.97
760,defense,n,127924,128.82,0.95
761,bill,n,127919,128.82,0.94
762,like,c,127828,128.73,0.97
763,cell,n,127818,128.72,0.91
764,away,i,127427,128.32,0.98
765,performance,n,127318,128.21,0.92
766,hospital,n,127317,128.21,0.98
767,bed,n,127232,128.13,0.93
768,board,n,127202,128.1,0.96
769,protect,v,126672,127.56,0.98
770,century,n,126668,127.56,0.95
771,summer,n,126418,127.31,0.96
772,material,n,126254,127.14,0.93
773,individual,n,125578,126.46,0.92
774,recently,r,125532,126.41,0.96
775,example,n,125442,126.32,0.94
776,represent,v,125330,126.21,0.94
777,fill,v,125249,126.13,0.97
778,state,v,125064,125.94,0.94
779,place,v,124900,125.78,0.96
780,animal,n,124835,125.71,0.97
781,fail,v,124675,125.55,0.97
782,factor,n,123915,124.79,0.89
783,natural,j,123788,124.66,0.95
784,sir,n,123629,124.5,0.9
